sample_index,image_file,original_overall_dice,original_macro_class_dice,ignore_class_macro_dice,original_overall_jaccard,original_macro_class_jaccard,ignore_class_macro_jaccard
771,18_228_Masson_505_83_24_jpg.rf.f210117a5a8c96b70c7d7e5a0db9f170.jpg,0.9318602085113525,0.9829650521278381,0.9772867361704508,0.8724141120910645,0.9681035280227661,0.9574713706970215
382,15_242_208_25_27_jpg.rf.1ac7e0afc7a9f521ad19bf9931a8b053.jpg,0.9326702952384949,0.9831675887107849,0.9775567650794983,0.8738352060317993,0.9684587717056274,0.9579450686772665
173,15_242_208_29_14_jpg.rf.f0eeed201d1cbe59da74c5f6b6841561.jpg,0.9327199459075928,0.9831799864768982,0.9775733153025309,0.8739224076271057,0.9684805870056152,0.9579741358757019
691,18_229_Masson_202_8_15_jpg.rf.4ee96aad6cafff82b5e5c85ddafc4d38.jpg,0.9329186081886292,0.9832296371459961,0.9776395360628763,0.8742712736129761,0.9685678482055664,0.9580904245376587
156,201_9_14_10_jpg.rf.d2e6d6f8a732003b781780bf929f765f.jpg,0.9331916570663452,0.9832979440689087,0.9777305523554484,0.8747510313987732,0.9686877727508545,0.9582503437995911
653,201_9_9_30_jpg.rf.90395b69c01a9b54f1284adffad38645.jpg,0.933635950088501,0.9834089875221252,0.9778786500295004,0.8755320310592651,0.9688830375671387,0.958510677019755
147,201_7_5_17_jpg.rf.ef0e0481a2c8f94c146c49fbaf2e7635.jpg,0.9338072538375854,0.9834518432617188,0.9779357512791952,0.8758335113525391,0.9689583778381348,0.9586111704508463
585,17_228_801_67_60_jpg.rf.f522c58bd12ae4778ec903a235464d18.jpg,0.9339308142662048,0.9834827184677124,0.977976938088735,0.8760508894920349,0.9690127372741699,0.9586836298306783
41,15_242_208_30_12_jpg.rf.4889a4d8df88df41d2d7ddcc39c579cb.jpg,0.9339686036109924,0.9834921360015869,0.9779895345369974,0.8761173486709595,0.9690293073654175,0.9587057828903198
583,18_236_303_54_44_jpg.rf.7829ba23b279b29ff7a5a9ed3b234b51.jpg,0.9349977374076843,0.9837494492530823,0.9783325791358948,0.877930223941803,0.9694825410842896,0.9593100746472677
182,15_242_208_22_26_jpg.rf.ad36fc8fbc8ab2320e33a906f47c4449.jpg,0.9350605607032776,0.9837651252746582,0.9783535202344259,0.8780410885810852,0.9695102572441101,0.9593470295270284
555,18_228_Masson_505_83_24_jpg.rf.1b9e5fc82a114c28dd6f826319e599ce.jpg,0.9352564215660095,0.9838141202926636,0.9784188071886698,0.8783864974975586,0.9695966243743896,0.9594621658325195
